Anel,Progressiva (m),Tempo total anel (s),Tempo total anel (h),Tempo escavacao anel (s),Tempo escavacao anel (h),Energia especifica (MJ/m3) (media),Velocidade de Avanco (mm/min) (media),Torque(MNm) (media),Empuxo (kN) (media),Taxa de Penetracao (mm/rev) (media),Rotacao da Cabeca de Corte (RPM) (media),Forca de Contato (kN) (media),agua Livre (L.min) (media),FER (media),FIR (%) (media),anel,Massa de material escavado (teorica) (ton) (max),Massa de material escavado (balanca 1) (ton) (max),Diferenca  balanca 1 (ton),Massa de material escavado (balanca 2) (ton)  (max),Diferenca  balanca 2 (ton),Pressao de terra (media dos sensores) (bar) (media),Pressao de terra (S1) (bar) (media),Pressao de terra (S2)(bar) (media),Pressao de terra (S3) (bar) (media),Pressao de terra (S4) (bar) (media),Pressao de terra (S5) (bar) (media),Pressao de terra (S6) (bar) (media),Injecao de grout total (L) (max),Material Calota,Material Eixo,Material Base,Face mista
1145,12502.5682,85185,23.6625,3536,0.982222222,64.62545042,25.81755241,2.736053824,17654.90823,10.29907932,2.50717847,13107.1514,155.6603371,9.862949008,109.4146714,1145,116.14,126.783,10.643,137.384,21.244,1.588855524,1.499592068,1.644167139,1.795005666,1.801345609,1.656609065,1.555050992,4739.772,4Ag2,4Ag2,4Ag2,nao
1146,12504.0682,8690,2.413888889,4025,1.118055556,58.68907214,21.59995522,2.160910448,15582.18742,9.040412935,2.391238806,10889.76404,114.6963358,19.21731592,208.9707338,1146,112.171,191.206,79.035,215.807,103.636,1.454236318,1.351870647,1.514597015,1.713166667,1.728263682,1.552485075,1.3975,5138.017,4Ag2,4Ag2,4Ag2,nao
1147,12505.5682,10591,2.941944444,3462,0.961666667,59.9372948,25.18826301,2.594072254,16424.43373,10.40173121,2.411537572,11951.35099,169.4530058,9.758049133,120.9197717,1147,110.83,95.986,-14.844,95.586,-15.244,1.490355491,1.405734104,1.546231214,1.696549133,1.706765896,1.555040462,1.45433526,4754.149,4Ag2,4Ag2,4Ag2,nao
1148,12507.0682,8643,2.400833333,3231,0.8975,53.3831118,27.51130745,2.617291925,16021.87597,11.4259441,2.407847826,11690.28823,148.5650062,8.431397516,109.6458075,1148,112.154,95.891,-16.263,96.091,-16.063,1.491590062,1.421630435,1.537677019,1.674086957,1.68086646,1.538419255,1.468649068,4344.156,4Ag2,4Ag2,4Ag2,nao
1149,12508.5682,5489,1.524722222,2762,0.767222222,48.50318478,32.01082609,2.775652174,16005.63822,13.29531159,2.404108696,11615.36749,179.070913,8.206318841,103.0883478,1149,111.301,93.353,-17.948,86.053,-25.248,1.463634058,1.386014493,1.515206522,1.645644928,1.666873188,1.515072464,1.438126812,4319.052,4Ag2,4Ag2,4Ag2,nao
1150,12510.0682,9336,2.593333333,3240,0.9,55.22628173,27.27770898,2.685770898,16538.50568,11.34221053,2.403888545,12013.74258,165.9578669,9.398188854,114.1826192,1150,113.595,84.943,-28.652,79.243,-34.352,1.486817337,1.348928793,1.570780186,1.876219814,1.835752322,1.617470588,1.410018576,4417.079,4Ag2,4Ag2,4Ag2,nao
1151,12511.5682,7131,1.980833333,3329,0.924722222,68.5641988,26.22372892,2.698861446,17156.60668,10.48085542,2.502063253,12469.36642,176.8833072,8.918545181,106.5786476,1151,112.229,98.819,-13.41,95.217,-17.012,1.551756024,1.418168675,1.627481928,1.899379518,1.870457831,1.670180723,1.491054217,4556.138,4Ag2,4Ag2,4Ag2,nao
1152,12513.0682,10489,2.913611111,3494,0.970555556,66.39325788,24.99622923,2.759452722,17633.64955,9.869765043,2.532598854,12929.35523,173.9738911,9.459578797,112.1678911,1152,112.48,91.055,-21.425,89.355,-23.125,1.600131805,1.480237822,1.668197708,1.921982808,1.889710602,1.70034957,1.551704871,4673.549,4Ag2,4Ag2,4Ag2,nao
1153,12514.5682,6779,1.883055556,3327,0.924166667,64.0400753,26.18895181,2.803003012,17251.91051,10.34258735,2.532358434,12863.16063,166.2661596,9.132743976,117.6419036,1153,110.344,94.72,-15.624,91.719,-18.625,1.509310241,1.383924699,1.581581325,1.826228916,1.815843373,1.616849398,1.454746988,4473.775,4Ag2,4Ag2,4Ag2,nao
1154,12516.0682,12936,3.593333333,5108,1.418888889,85.73002941,17.91297647,2.505601961,17425.21135,7.064954902,2.535415686,12659.89113,176.1581353,12.09787255,162.0532392,1154,114.684,89.727,-24.957,89.927,-24.757,1.518164706,1.387092157,1.589945098,1.839619608,1.830413725,1.636519608,1.458941176,4695.292,4Ag2,4Ag2,4Ag2,nao
