Anel,Progressiva (m),Tempo total anel (s),Tempo total anel (h),Tempo escavacao anel (s),Tempo escavacao anel (h),Energia especifica (MJ/m3) (media),Velocidade de Avanco (mm/min) (media),Torque(MNm) (media),Empuxo (kN) (media),Taxa de Penetracao (mm/rev) (media),Rotacao da Cabeca de Corte (RPM) (media),Forca de Contato (kN) (media),agua Livre (L.min) (media),FER (media),FIR (%) (media),Massa de material escavado (teorica) (ton) (max),Massa de material escavado (balanca 1) (ton) (max),Diferenca  balanca 1 (ton),Massa de material escavado (balanca 2) (ton)  (max),Diferenca  balanca 2 (ton),Pressao de terra (media dos sensores) (bar) (media),Pressao de terra (S1) (bar) (media),Pressao de terra (S2)(bar) (media),Pressao de terra (S3) (bar) (media),Pressao de terra (S4) (bar) (media),Pressao de terra (S5) (bar) (media),Pressao de terra (S6) (bar) (media),Injecao de grout total (L) (max),Material Calota,Material Eixo,Material Base,Mat,Material,Composicao da frente,Materiais na frente,Torque/Forca de contato,S1-S2,S1-S3
1136,12486.5,8460,2.35,3850,1.069444444,74.93983333,21.99667188,3.33425,14008.40885,10.48913802,2.100747396,11495.86403,166.8325391,14.13672656,167.4987813,113.594,90.405,-23.189,92.111,-21.483,1.022950521,0.97309375,1.063552083,1.19075,1.197721354,1.108942708,0.946135417,4819.938,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,34.84553149,-0.090458333,-0.21765625
1137,12488,11363,3.156388889,3955,1.098611111,68.63897215,22.49319747,3.189777215,15371.52882,11.04145316,2.037827848,11777.27577,140.7284025,18.52216456,219.3154633,114.477,95.082,-19.395,102.485,-11.992,1.087939241,1.041979747,1.120653165,1.265827848,1.254951899,1.174670886,1.014463291,5858.098,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,34.15171446,-0.078673418,-0.223848101
1138,12489.5,6761,1.878055556,3113,0.864722222,66.82903537,28.1188746,3.373466238,13924.81129,11.90271061,2.362565916,10832.31055,147.5533087,12.05210611,118.0635016,112.973,86.211,-26.762,84.391,-28.582,0.937569132,0.929427653,0.935826367,1.107504823,1.112652733,0.989192926,0.89577492,5234.99,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,33.22039447,-0.006398714,-0.17807717
1139,12491,9120,2.533333333,3643,1.011944444,63.98972527,22.65183791,3.322266484,14340.17656,11.95186538,1.895101648,11230.32876,68.6986511,13.14421154,165.8717527,110.851,98.229,-12.622,97.169,-13.682,1.039098901,1.004554945,1.060802198,1.273098901,1.25481044,1.114145604,0.976898352,5155.431,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,33.91831349,-0.056247253,-0.268543956
1140,12492.5,5928,1.646666667,3247,0.901944444,52.86425926,26.93685185,3.242194444,12911.23069,14.37616667,1.873342593,9949.455343,105.4053395,13.1189321,141.7034969,113.287,89.617,-23.67,92.038,-21.249,1.027558642,1.007978395,1.034626543,1.137873457,1.183074074,1.086253086,0.981376543,4853.992,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,29.32551712,-0.026648148,-0.129895062
1141,12494,6493,1.803611111,2718,0.755,47.59603321,30.46110332,3.305763838,13509.06775,16.31278229,1.867900369,10965.18957,117.0603727,12.16880812,122.5993542,112.546,85.204,-27.342,87.79,-24.756,0.998051661,0.923756458,1.053564576,1.286250923,1.259889299,1.115653137,0.899173432,4895.689,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,32.95302469,-0.129808118,-0.362494465
1142,12495.5,9071,2.519722222,3062,0.850555556,52.8088623,27.37006885,3.189085246,12570.92556,14.69604262,1.862580328,10178.8127,121.5783672,15.16377377,166.1398918,111.568,93.7,-17.868,103.945,-7.623,0.969436066,0.887557377,1.022344262,1.255222951,1.238518033,1.104537705,0.863177049,4810.764,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,29.51009218,-0.134786885,-0.367665574
1143,12497,14041,3.900277778,2239,0.621944444,41.52777578,37.52202242,3.259300448,12639.93792,20.17706726,1.859591928,9851.953794,126.1837444,11.22610762,104.9240314,113.321,91.975,-21.346,103.35,-9.971,0.984672646,0.892520179,1.043542601,1.236775785,1.246587444,1.118035874,0.884843049,4558.321,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,29.1913431,-0.151022422,-0.344255606
1144,12498.5,4281,1.189166667,2803,0.778611111,48.761,36.39816071,3.302407143,13029.27907,15.87036071,2.301592857,10248.56866,150.0166393,12.49498929,111.6212321,130.99,108.563,-22.427,102.728,-28.262,1.073475,0.984203571,1.121085714,1.328028571,1.35355,1.227228571,0.961182143,4974.381,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,30.76813304,-0.136882143,-0.343825
1145,12500,4841,1.344722222,1963,0.545277778,56.61906633,37.69852041,3.263566327,13771.20113,15.96801531,2.360882653,10866.8184,149.803,9.796545918,86.61186224,94.158,72.847,-21.311,64.835,-29.323,1.184734694,1.110821429,1.253821429,1.505954082,1.439780612,1.300602041,1.073642857,4095.409,4Ag2,4Ag2,4Ag2,4Ag2 4Ag2 4Ag2,4Ag2,,1,32.24052965,-0.143,-0.395132653
